PickUpA,ReturnA,PickUpB,ReturnB,PickUpC,ReturnC,PickUpD,ReturnD
0.0,0.0,59.766,0.0,0.00435,0.0,0.0,27.493
0.0,7.62,0.00429,0.0,1.8892,0.00020728,0.0,0.0
107.87,0.0,0.0,243.54,107.77,0.0,42.156,0.0
2.0862,0.0,0.13552,0.0,0.0,35.376,0.0,0.0
0.0,3.5225,0.0,6.1843,6.1201,0.0,7.871,0.0
12.093,0.0,6.0739,0.0,1.6585,0.0,0.0,76.375
0.0,58.005,31.602,0.0,0.0,0.00135,23.636,0.0
0.0,67.633,28.958,0.0,0.00514,0.0,0.00613,0.0
0.0,0.04299,0.0,0.0,0.0,14.102,129.9,0.0
8.0113,0.0,0.0,51.332,0.0,0.27089,24.047,0.0
0.0286,0.0,0.0,7.5561,0.00267,0.0,0.0,0.0
0.0,15.664,0.00129,0.0,34.193,0.0,0.0,0.0
10.261,0.0,0.0,0.0,0.0,0.0,0.0,0.863
0.0,0.0,0.0,11.069,15.389,0.0,0.0,0.0
18.169,0.0,135.19,0.0,0.0,29.062,0.0,0.02927
8.5144,0.0,0.0,0.0,0.0,12.369,0.0,0.0
65.914,0.0,0.0,12.314,0.0,102.71,149.92,0.0
0.0,0.0,0.0,0.01293,1.1601,0.0,0.00334,0.0
11.308,0.0,0.0,7.1333,0.21255,0.0,0.0,0.0
0.0,0.00753,0.0,0.00303,18.148,0.0,0.0,0.07421
21.103,0.0,20.132,0.0,0.0,59.816,0.0,0.00501
0.22646,0.0,67.869,0.0,0.0,20.458,0.0,14.351
0.0,0.0,0.0,0.0,0.3452,0.0,7.4628,0.02132
0.0,69.615,71.769,0.0,10.226,0.0,0.0,0.0
0.0,0.0,0.36271,0.0,0.0,0.00447,0.0,2.1546
21.765,0.0,0.0,0.0,0.0,11.782,0.0,0.0
1.9273,0.0,62.51,0.0,0.0,1.2049,0.0,5.1644
0.0,11.979,0.20695,0.0,0.0,0.06179,111.71,0.0
0.0,0.0,0.0,0.0,0.0,0.00207,3.9627,0.0
0.0,0.0,0.0,0.0,0.0,4.3365,0.0,0.00643
0.0,77.487,0.01386,0.0,17.784,0.0,0.0,0.0
0.03855,0.0,2.6731,0.0,0.0,54.125,0.96884,0.0
0.0,0.0,27.92,0.0,0.0,0.52357,0.0,0.0
11.966,0.0,54.455,0.0,0.0,22.629,0.0,3.7474
0.0,0.031,0.0,0.0,0.0,1.4874,18.662,0.0
0.0,0.25362,35.276,0.0,0.0,0.0,0.0,0.0
0.0,0.0,17.441,0.0,0.0,0.0,0.0,0.0
2.9347,0.0,0.0,0.00995,0.0,0.00049029,0.0,0.0
0.0,66.168,3.9031,0.0,15.483,0.0,0.0,0.0
0.0,2.4336,0.0,0.0,1.8128,0.0,3.5172,0.0
3.2134,0.0,6.946,0.0,0.0,33.829,0.0,0.0
0.0,162.82,77.501,0.0,29.335,0.0,0.0,0.0
0.0,0.0008633,19.93,0.0,0.00275,0.0,0.0,0.72173
0.16235,0.00555,0.0,0.0,0.16532,0.00134,0.0,0.00414
0.01671,0.0,0.0,60.548,21.872,0.0,0.0,0.0
3.0699,0.0,0.01073,0.0,0.0,15.709,0.0,0.0
0.0,1.4142,0.0,1.7022,0.0,0.0,34.773,0.0
0.0,4.7563,0.0,0.0,0.50093,0.0,5.3331,0.0
0.0,0.0,0.0,0.92127,82.404,0.0,0.0,0.00813
4.2836,0.0,0.0,0.0,0.0,0.00418,0.0,0.22113
