PickUpA.Queue.WaitingTime,ReturnA.Queue.WaitingTime,PickUpB.Queue.WaitingTime,ReturnB.Queue.WaitingTime,PickUpC.Queue.WaitingTime,ReturnC.Queue.WaitingTime,PickUpD.Queue.WaitingTime,ReturnD.Queue.WaitingTime
0.0,3.088,0.0,87.145,0.0,1.6645,0.0,266.27
0.0,165.78,0.0,0.02144,0.0,0.82407,0.0,80.957
0.0,235.08,0.0,0.00101,0.0,11.496,0.0,82.834
0.0,119.76,0.0,136.22,0.0,0.12205,0.0,1.7851
1.1479,5.4274,0.0,29.909,0.0,50.023,0.0,173.0
0.0,161.51,0.0,1.6208,0.0,125.32,0.0,6.139
0.0,5.2798,0.0,167.88,0.0,33.912,0.0,13.796
0.0,1.8648,4.7154,0.12885,0.0,39.721,0.0,268.19
0.95382,5.6389,0.0,232.33,13.884,0.27578,0.0,136.77
18.217,0.04114,0.0,58.11,0.0,32.745,0.0,232.75
0.0,58.153,0.0,43.528,0.0,3.5619,0.0,39.107
0.0,81.353,0.0,13.694,0.0,0.0,0.0,215.7
0.0,29.918,0.0,5.9367,0.0,246.73,0.0,18.513
0.0,99.243,0.0,263.69,1.0913,0.01898,0.0,0.22116
0.0,0.02452,0.0,114.33,0.0,204.78,0.0,11.27
0.0,17.631,0.0,228.64,0.0,0.00505,0.0,40.5
0.0,0.03089,0.0,0.90869,0.0,34.72,0.0,299.66
0.0,87.97,0.0,52.772,0.0,89.191,0.0,0.00029714
37.676,0.0,7.0164,13.905,37.949,0.15337,0.0,655.32
0.0,6.3218,0.0,391.78,0.0,0.07411,0.0,6.9238
0.0,4.7316,0.0,23.969,0.0,38.802,0.0,242.61
0.0,31.481,0.0,10.796,0.0,303.92,0.36234,49.436
0.0,56.942,0.0,241.52,0.0,5.6059,4.8817,0.00548
0.0,187.96,0.0,4.7142,0.0,63.344,0.0,0.12419
0.0,1.3139,0.0,12.236,0.0,35.684,0.0,154.11
0.01692,1.0562,0.0,165.17,0.0,416.5,130.36,0.0
0.0,167.17,0.0,4.3579,0.0,0.14948,0.0,46.837
0.0,264.36,0.0,27.943,0.0,0.0,0.0,72.317
0.0,104.43,0.0,303.44,0.0,1.0276,23.37,4.5863
0.0,347.77,1.0517,9.2413,0.0,5.0148,0.0,0.02113
56.721,0.20923,0.0,102.15,0.0,415.88,0.0,0.0
0.0,440.94,0.0,0.23083,0.0,1.9749,0.0,0.07693
8.8871,3.0035,0.0,217.44,0.0,63.92,0.0,55.946
0.0,4.5816,0.0,39.593,0.0,142.42,0.0,51.081
0.0,40.98,0.0,34.403,0.0,347.78,81.642,0.10612
0.0,0.37462,0.0,323.06,0.0,7.4105,0.0,1.4226
0.0,510.76,0.0,13.587,0.15405,5.6237,0.0,0.12114
0.0,0.09074,0.0,299.5,0.0,48.451,0.0,0.43189
0.205,32.531,0.0,321.85,0.94275,0.0017,0.0,20.596
0.0,148.25,7.6556,9.3619,0.0,145.36,0.0,1.8036
0.0,19.085,0.0,342.0,0.93209,0.00070321,0.0,13.686
0.0,69.35,6.7435,0.0,0.0,0.63193,0.0,298.44
0.0,4.0699,0.0,552.63,147.77,6.9229,0.80972,0.00377
0.0,14.018,0.0,143.39,0.0,26.802,0.0,49.201
0.0,112.11,0.0,0.75287,0.0,39.176,0.0,56.032
0.0,0.00604,0.0,16.458,0.0,9.1404,0.0,259.22
0.0,4.2244,0.0,23.165,0.0,9.137,0.0,182.82
0.0,171.44,48.375,30.007,0.0,139.94,0.0,5.6018
0.0,54.731,0.0,537.3,107.81,1.1676,12.358,0.0
13.971,0.37894,0.0,141.36,0.0,16.435,0.0,246.14
